URL,Title,Image,Images_num,h1_num,h2_num,Paragraphs_num,Paragraphs_Word_Count_avg,Quotes_num,Publication,Writer,Date,Read_Time,Claps,Responses
https://medium.com/personal-growth/the-most-important-skill-nobody-taught-you-9b162377ab77,the most important skill nobody taught you,https://miro.medium.com/max/1280/1*Cdg08ju32T26LsY8pOboiQ.jpeg,1,5,2,41,41,1,Personal Growth,Zat Rana,16-Jun-18,6,294000,1007
https://jacksoncunningham.medium.com/digital-exile-how-i-got-banned-for-life-from-airbnb-615434c6eeba,digital exile how i got banned for life from airbnb,https://miro.medium.com/max/1400/0*lfFsZKCyj5HSvBY5,9,1,1,29,35,2,,Jackson Cunningham,13-Jul-18,5,304000,1661
https://medium.com/@jeffreypbezos/no-thank-you-mr-pecker-146e3922310f,no thank you mr pecker,,2,0,2,83,31,0,,Jeff Bezos,8-Feb-19,9,258000,0
https://medium.com/personal-growth/travel-is-no-cure-for-the-mind-e449d3109d71,travel is no cure for the mind,https://miro.medium.com/max/1400/1*l5ugVnWc_UjRcb09NHQS8Q.png,46,1,2,108,35,0,Personal Growth,More To That,21-Mar-18,16,271000,876
https://wilw.medium.com/my-name-is-wil-wheaton-i-live-with-chronic-depression-and-generalized-anxiety-i-am-not-ashamed-8f693f9c0af1,my name is wil wheaton i live with chronic depression and generalized anxiety i am not ashamed,https://miro.medium.com/max/1400/1*4eoDVHG9Bs23Xl_2Qt1Leg.jpeg,1,2,0,69,73,3,,Wil Wheaton,2-Jun-18,18,258000,1218
https://medium.com/personal-growth/the-3-keys-to-becoming-irresistible-d2f689ea4bf1,the 3 keys to becoming irresistible,https://miro.medium.com/max/1350/1*17avNRAMDfQmDKu5eevI_g.jpeg,1,4,1,12,82,0,Personal Growth,John Gorman,25-Mar-18,4,237000,718
https://medium.com/hackernoon/im-harvesting-credit-card-numbers-and-passwords-from-your-site-here-s-how-9a8cb347c5b5,im harvesting credit card numbers and passwords from your site here s how,,6,5,6,75,37,1,HackerNoon.com,David Gilbertson,6-Jan-18,10,225000,309
https://gen.medium.com/how-a-tv-sitcom-triggered-the-downfall-of-western-civilization-336e8ccf7dd0,how a tv sitcom triggered the downfall of western civilization,https://miro.medium.com/max/700/1*2vnoYyz9iz7sYFC1oLqJtQ.jpeg,1,1,4,24,70,0,,GEN,22-Mar-16,6,240000,1576
https://humanparts.medium.com/laziness-does-not-exist-3af27e312d01,laziness does not exist,https://miro.medium.com/max/1000/1*UeYfTm8_eiAJptIUZabGOQ.gif,5,1,2,1,2,0,,Human Parts,23-Mar-18,11,277000,1055
https://medium.com/free-code-camp/how-to-think-like-a-programmer-lessons-in-problem-solving-d1d8bf1de7d2,how to think like a programmer lessons in problem solving,https://miro.medium.com/max/1400/1*HTRqXgr7CVtRBsyTxurQew.jpeg,1,1,7,85,22,9,We’ve moved to freeCodeCamp.org/news,Richard Reis,10-Apr-18,7,210000,271
https://medium.com/@jamesbridle/something-is-wrong-on-the-internet-c39c471271d2,something is wrong on the internet,,15,1,9,67,90,1,,James Bridle,6-Nov-17,21,174000,509
https://medium.com/refactoring-ui/7-practical-tips-for-cheating-at-design-40c736799886,7 practical tips for cheating at design,https://miro.medium.com/max/2000/1*KYZikUrx9F02cJU9kpn_gQ.png,27,9,5,56,25,0,Refactoring UI,Adam Wathan & Steve Schoger,20-Feb-18,8,238000,267
https://humanparts.medium.com/the-rock-test-a-hack-for-men-who-dont-want-to-be-accused-of-sexual-harassment-73c45e0b49af,the rock test a hack for men who dont want to be accused of sexual harassment,,7,4,9,23,49,1,,Human Parts,9-Oct-17,5,163000,894
https://medium.com/swlh/the-power-of-doing-nothing-at-all-73eeea488b8b,the power of doing nothing at all,https://miro.medium.com/max/700/1*-Nn4vZeuKrQP2wu_T2gJRw.jpeg,4,5,2,54,30,5,The Startup,Aytekin Tank,7-Jun-18,7,161000,442
https://medium.com/s/story/7-things-you-need-to-stop-doing-to-be-more-productive-backed-by-science-a988c17383a6,7 things you need to stop doing to be more productive backed by science,https://miro.medium.com/max/700/0*P1dGZg72Uef8Wq4u.,5,2,9,53,53,8,,Cammi Pham,29-Apr-14,11,173000,363
https://medium.com/darius-foroux/the-purpose-of-life-is-not-happiness-its-usefulness-65064d0cdd59,the purpose of life is not happiness its usefulness,https://miro.medium.com/max/700/1*vmnduKgQDygxhKAUMnWeHQ.png,1,5,9,43,28,3,,The Blog Of Darius Foroux,3-Oct-16,5,178000,1455
https://medium.com/tomyum/our-redesign-of-mediums-claps-and-why-they-may-not-have-chosen-to-do-it-this-way-edc9ff6b586e,our redesign of mediums claps and why they may not have chosen to do it this way,https://miro.medium.com/max/2501/1*6p88Qr70JrweEN90m4U-vg.png,9,2,7,21,47,0,TomYum,Jason Li,29-Aug-17,5,155000,136
https://medium.com/nextux/design-better-forms-96fadca0f49c,design better forms,https://miro.medium.com/max/2000/1*XhzxeTnAuWoaeJmlPBP0bw.jpeg,15,19,2,11,27,1,NextUX,Andrew Coyle,5-Jul-16,3,165000,496
https://medium.com/thrive-global/how-technology-hijacks-peoples-minds-from-a-magician-and-google-s-design-ethicist-56d62ef5edf3,how technology hijacks peoples minds from a magician and google s design ethicist,https://miro.medium.com/max/60/1*IG2MfhS05JjHryBHnXLXwA.png?q=20,22,1,10,80,44,1,Thrive Global,Tristan Harris,18-May-16,16,159000,1173
https://medium.com/@zdravko/13-things-you-should-give-up-if-you-want-to-be-successful-1ecb7d62e558,13 things you should give up if you want to be successful,https://miro.medium.com/max/2800/1*2VyhI04DVEea-45pIoaYCA.jpeg,1,15,0,65,23,13,,Zdravko Cvijetic,25-Dec-17,6,140000,312
https://blog.usejournal.com/about-your-poem-1f26a7585a6f,about your poem,https://miro.medium.com/max/1400/1*CbsONsYk4wGSQDYZN_Ciig.jpeg,1,2,1,37,39,1,Noteworthy - The Journal Blog,Dina Ley,23-Jan-17,5,145000,1671
https://cscalfani.medium.com/goodbye-object-oriented-programming-a59cda4c0e53,goodbye object oriented programming,,7,6,9,124,21,1,,Charles Scalfani,23-Jul-16,10,164000,1130
https://medium.com/free-code-camp/how-i-re-built-the-medium-clap-effect-and-what-i-got-out-of-the-experiment-991672995fdf,how i re built the medium clap effect and what i got out of the experiment,https://miro.medium.com/max/2000/1*2gzBT_k8M-SrIZ1maT7njQ.gif,8,9,1,54,23,1,We’ve moved to freeCodeCamp.org/news,Ohans Emmanuel,29-Nov-17,5,124000,92
https://peachpie.medium.com/we-fired-our-top-talent-best-decision-we-ever-made-4c0a99728fde,we fired our top talent best decision we ever made,https://miro.medium.com/max/700/1*4hU3Xn7wunA81I3v17JIrg.jpeg,4,1,9,76,28,0,,Jonathan Solórzano-Hamilton,13-Oct-17,8,132000,577
https://medium.com/@ralphammer/a-quick-beginners-guide-to-drawing-58213877715e,a quick beginners guide to drawing,,5,2,2,15,22,2,,Ralph Ammer,22-Aug-17,3,124000,247
https://medium.com/caspian-tech/caspians-token-challenge-is-live-earn-more-csp-by-unlocking-achievements-17e95a437bfc,caspians token challenge is live earn more csp by unlocking achievements,https://miro.medium.com/max/1400/1*aVHUJb4xAuve4Y25BSZAUA.png,1,1,1,8,50,0,Caspian.tech Blog,Caspian,10-Aug-18,2,111000,12
https://medium.com/hackernoon/why-everyone-missed-the-most-mind-blowing-feature-of-cryptocurrency-860c3f25f1fb,why everyone missed the most mind blowing feature of cryptocurrency,https://miro.medium.com/max/7000/1*-f6Dl0AjwpYi-CVURqlHog.jpeg,11,4,7,123,35,0,HackerNoon.com,Daniel Jeffries,31-Jul-17,16,115000,553
https://sgriddle.medium.com/im-35-and-i-may-suddenly-have-lost-the-rest-of-my-life-i-m-panicking-just-a-bit-35d6a28dcbc,im 35 and i may suddenly have lost the rest of my life i m panicking just a bit,,2,1,9,20,74,0,,Scott Riddle,14-Aug-17,6,117000,640
https://medium.com/hackernoon/how-i-hacked-40-websites-in-7-minutes-5b4c28bc8824,how i hacked 40 websites in 7 minutes,https://miro.medium.com/max/2000/1*BConY8LqhUtyJQLS6kITvA.png,13,5,6,60,27,10,HackerNoon.com,Georgios Konstantopoulos,23-Nov-17,9,110000,82
https://codeburst.io/the-2018-web-developer-roadmap-826b1b806e8d,the 2018 web developer roadmap,https://miro.medium.com/max/2000/1*KEEvJFuaSttCtv1_UzzPVw.png,8,5,35,28,15,1,codeburst,Brandon Morelli,22-Jan-18,6,114000,202
https://medium.com/swlh/dont-listen-to-those-productivity-gurus-why-waking-up-at-6am-won-t-make-you-successful-b3c77921d9fd,dont listen to those productivity gurus why waking up at 6am won t make you successful,https://miro.medium.com/max/700/1*VYVuwnzR_wpcKq2EYAzd1w.jpeg,3,6,2,65,29,5,The Startup,Aytekin Tank,9-May-18,7,116000,408
https://medium.com/s/story/yes-you-should-delete-facebook-heres-why-bc623a3b4625,yes you should delete facebook heres why,https://miro.medium.com/max/700/1*Xz_nj6nHliJJCLj9UtbArg.jpeg,1,4,3,51,49,0,,Nat Eliason,9-Apr-18,9,112000,297
https://jimmysong.medium.com/why-blockchain-is-hard-60416ea4c5c,why blockchain is hard,https://miro.medium.com/max/60/0*W3LI86Xp8u_JEGfc.jpg?q=20,7,6,5,39,65,0,,Jimmy Song,14-May-18,10,108000,543
https://medium.com/thrive-global/want-to-become-a-multi-millionaire-do-these-15-things-immediately-e1e779a6978f,want to become a multi millionaire do these 15 things immediately,https://miro.medium.com/max/2000/1*WTPj-gQ0fQB6aJG3m7ZrAg.jpeg,3,17,0,205,30,5,Thrive Global,"Benjamin Hardy, PhD",14-May-18,10,98000,233
https://medium.com/swlh/why-you-shouldnt-share-your-goals-be13fbe352d2,why you shouldnt share your goals,https://miro.medium.com/max/700/1*2KZ_3XdYPW9bhkP5E5iLbA.jpeg,3,3,1,55,31,4,The Startup,Aytekin Tank,16-May-18,7,104000,325
https://medium.com/free-code-camp/how-i-went-from-newbie-to-software-engineer-in-9-months-while-working-full-time-460bd8485847,how i went from newbie to software engineer in 9 months while working full time,https://miro.medium.com/max/700/1*wyxuq21keffc5b0d_lMkUw.jpeg,12,16,1,90,53,0,We’ve moved to freeCodeCamp.org/news,Austin Tackaberry,31-Mar-18,19,113000,342
https://medium.com/swlh/how-quitting-my-corporate-job-for-my-startup-dream-f-cked-my-life-up-3b6b3e29b318,how quitting my corporate job for my startup dream f cked my life up,,3,6,2,68,30,5,The Startup,Ali Mese,10-Sep-14,9,100000,0
https://humanparts.medium.com/porn-is-not-the-worst-thing-on-musical-ly-5df07ab842af,porn is not the worst thing on musical ly,https://miro.medium.com/max/23/1*xGBQmGobn-PRagwM5KBnpA.jpeg?q=20,1,1,14,45,70,0,,Human Parts,5-Mar-18,11,103000,240
https://marker.medium.com/reflecting-on-my-failure-to-build-a-billion-dollar-company-b0c31d7db0e7,reflecting on my failure to build a billion dollar company,https://miro.medium.com/max/700/1*zqeqIy3hWr0M4UFw0jNY-Q.jpeg,8,9,9,83,47,3,,Marker,7-Feb-19,14,115000,234
https://medium.com/personal-growth/youre-not-lazy-7e357516c007,youre not lazy,https://miro.medium.com/max/1500/1*WOHLBLJCSXCW5NUFarwk4g.jpeg,3,1,1,31,71,1,Personal Growth,John Gorman,3-Feb-18,8,93000,245
